Description,Guesses,Precision,Recall,F1,Macro F1

Pos Score, 1,0.06466,0.11348,0.07709,0.08238
Pos Score,2,0.14585,0.14539,0.13304,0.14562
Pos Score, 3,0.19476,0.14066,0.15025,0.16335
Pos Score,4,0.26255,0.1445,0.17226,0.18641
Pos Score, 5,0.31787,0.14113,0.18112,0.19548
Pos Score,6,0.36506,0.13593,0.18448,0.1981
Pos Score, 10,0.51491,0.11493,0.17687,0.18792
Random,10,0.37691,0.10742,0.15423,0.16719
Random,5,0.23315,0.12524,0.14729,0.16295
Random,3,0.14738,0.12057,0.12038,0.13263
Random,1,0.04477,0.09574,0.05569,0.06101
tf-idf, 1,0.07226,0.14539,0.09015,0.09654
tf-idf,2,0.14346,0.15426,0.13735,0.14866
tf-idf, 3,0.22484,0.15366,0.16653,0.18256
tf-idf,4,0.30621,0.15603,0.18975,0.20672
tf-idf, 5,0.36791,0.15248,0.19811,0.21561
tf-idf,6,0.44023,0.15721,0.21347,0.23168
tf-idf, 10,0.65092,0.14614,0.22331,0.23869
Algorithm, 1,0.08657,0.17021,0.10563,0.11477
Algorithm,2,0.18627,0.19681,0.17439,0.1914
Algorithm, 3,0.24998,0.18203,0.19156,0.21066
Algorithm,4,0.31029,0.17021,0.20023,0.219834
Algorithm, 5,0.36691,0.15674,0.20068,0.21965
Algorithm,6,0.42538,0.15071,0.20379,0.22257
Algorithm, 10,0.64051,0.14153,0.21719,0.23183
