Description,Guesses,Precision,Recall,F1,Macro F1

Algorithm,1,0.24113,0.14021,0.16297,0.17732
Algorithm,2,0.24823,0.27942,0.2389,0.2629
Algorithm,3,0.237,0.3811,0.26745,0.29225
Algorithm,4,0.21365,0.43156,0.26135,0.28581
Algorithm,6,0.19923,0.53781,0.26745,0.29075
Algorithm,7,0.19206,0.57446,0.2655,0.28787
Algorithm,8,0.18699,0.59862,0.26334,0.28497
Algorithm,9,0.18152,0.61375,0.25861,0.28018
Algorithm,10,0.17837,0.63349,0.25664,0.27836
Random,1,0.12411,0.05287,0.068,0.07415
Random,3,0.13298,0.17064,0.13773,0.14947
Random,5,0.14527,0.27307,0.17301,0.18965
Random,10,0.12318,0.44683,0.18087,0.19312
tf-idf only trainset,1,0.0922,0.04418,0.05504,0.05974
tf-idf only trainset,2,0.10993,0.09157,0.09256,0.09991
tf-idf only trainset,3,0.11584,0.15362,0.12037,0.13208
tf-idf only trainset,4,0.12234,0.22099,0.14454,0.15749
tf-idf only trainset,5,0.12482,0.27893,0.15845,0.17247
tf-idf only trainset,6,0.12884,0.33994,0.17275,0.18686
tf-idf only trainset,10,0.13256,0.60165,0.20342,0.21725
POS Score,1,0.09929,0.05254,0.06449,0.06872
POS Score,2,0.12943,0.12483,0.11709,0.12709
POS Score,3,0.13121,0.17681,0.13931,0.15063
POS Score,4,0.13475,0.23887,0.1603,0.1723
POS Score,5,0.13901,0.3188,0.1802,0.1936
POS Score,6,0.1448,0.40066,0.19851,0.21272
POS Score,10,0.14178,0.67424,0.22077,0.23429
tf-idf; train and testset,1,0.23463,0.37137,0.2632,0.28758
tf-idf; train and testset,2,0.24645,0.28479,0.24084,0.26424
tf-idf; train and testset,3,0.23463,0.37137,0.2632,0.28758
tf-idf; train and testset,4,0.21365,0.42905,0.26093,0.28526
tf-idf; train and testset,5,0.20089,0.477,0.25932,0.28271
tf-idf; train and testset,6,0.19982,0.53887,0.26823,0.29154
tf-idf; train and testset,7,0.19357,0.5773,0.26748,0.28993
tf-idf; train and testset,8,0.18788,0.59756,0.26428,0.28587
tf-idf; train and testset,9,0.18152,0.61375,0.25861,0.28018
tf-idf; train and testset,10,0.17872,0.63438,0.25714,0.27888


