Description,Guesses,Precision,Recall,F1,Macro F1

Algorithm,1,0.12766,0.09249,0.10248,0.10727
Algorithm,2,0.13298,0.18274,0.14605,0.15394
Algorithm,3,0.11702,0.23771,0.14984,0.15683
Algorithm,4,0.10136,0.26572,0.1401,0.14674
Algorithm,6,0.08398,0.30556,0.12565,0.13175
Algorithm,7,0.07765,0.31915,0.11912,0.12491
Algorithm,8,0.0724,0.32358,0.11267,0.11832
Algorithm,9,0.06841,0.32447,0.10735,0.11299
Algorithm,10,0.06624,0.33097,0.10469,0.11039
Random,1,0.02837,0.01596,0.0195,0.02043
Random,3,0.03605,0.06087,0.04304,0.04528
Random,5,0.0328,0.08434,0.04473,0.04723
Random,10,0.03271,0.16554,0.05272,0.05462
tf-idf,1,0.02837,0.01655,0.02009,0.0209
tf-idf,2,0.03191,0.03369,0.03156,0.03278
tf-idf,3,0.03546,0.06531,0.0438,0.04596
tf-idf,4,0.04167,0.10118,0.05643,0.05903
tf-idf,5,0.04326,0.13528,0.06272,0.06556
tf-idf,6,0.04492,0.16507,0.06746,0.07062
tf-idf,10,0.04224,0.2633,0.07058,0.0728
POS Score,1,0.05674,0.03901,0.04433,0.04623
POS Score,2,0.06206,0.08168,0.06697,0.07053
POS Score,3,0.05319,0.10189,0.06668,0.06989
POS Score,4,0.05408,0.13629,0.07411,0.07743
POS Score,5,0.05319,0.16613,0.07748,0.08058
POS Score,6,0.05142,0.19273,0.07836,0.08118
POS Score,10,0.04082,0.26365,0.0689,0.07069
tf-idf on testset and trainset,1,0.1182,0.23889,0.15102,0.15815
tf-idf on testset and trainset,2,0.13298,0.18895,0.14889,0.1561
tf-idf on testset and trainset,3,0.1182,0.23889,0.15102,0.15815
tf-idf on testset and trainset,4,0.10136,0.26572,0.1401,0.14674
tf-idf on testset and trainset,5,0.09108,0.28487,0.13147,0.13802
tf-idf on testset and trainset,6,0.08457,0.30644,0.12636,0.13256
tf-idf on testset and trainset,7,0.07917,0.32181,0.12105,0.12708
tf-idf on testset and trainset,8,0.07284,0.32181,0.11306,0.11879
tf-idf on testset and trainset,9,0.0688,0.32535,0.10789,0.11358
tf-idf on testset and trainset,10,0.06659,0.33186,0.10519,0.11093
