run_id,manual,snt_id,term,term_rank_snt,score_5,score_3
NP,1,G01.2_1448624402_1,biases,1,3,2
NP,1,G01.2_1448624402_1,decision-making,2,1,1
NP,1,G01.2_1448624402_2,biases,1,3,2
NP,1,G01.2_1448624402_2,decision-making,2,1,1
NP,1,G01.2_1448624402_3,biases,1,3,2
NP,1,G01.2_1448624402_3,incentive system,2,3,2
NP,1,G01.2_1448624402_4,biases,1,3,2
NP,1,G01.2_1448624402_5,biases,1,3,2
NP,1,G01.2_1448624402_6,decision-making,1,1,1
NP,1,G02.2_2134216589_1,Big data,1,3,2
NP,1,G02.2_2134216589_2,Big data,1,3,2
NP,1,G03.1_2943753439_1,VUI,1,5,3
NP,1,G03.1_2943753439_2,VUI,1,5,3
NP,1,G03.1_2943753439_3,VUI,1,5,3
NP,1,G03.1_2960901639_1,natural langage processing,1,5,3
NP,1,G04.1_2214798411_1,high throughput screening,1,5,3
NP,1,G04.1_2214798411_1,pharmacophore,2,5,3
NP,1,G04.1_2214798411_1,combinatorial chemistry,3,4,3
NP,1,G04.1_2214798411_2,high throughput screening,1,5,3
NP,1,G04.1_2214798411_2,pharmacophore,2,5,3
NP,1,G04.1_2214798411_3,pharmacophore,1,5,3
NP,1,G04.1_2339209416_1,semantic web,1,3,2
NP,1,G04.1_2339209416_1,bioassay,2,2,1
NP,1,G04.1_2339209416_1,machine-readable,3,1,1
NP,1,G04.1_2339209416_2,semantic web triples,1,4,3
NP,1,G04.1_2339209416_2,ontology,2,3,2
NP,1,G04.2_2415325177_1,Next generation sequencing,1,5,3
NP,1,G04.2_2415325177_2,bioinformatic,1,4,2
NP,1,G04.2_2415325177_2,open source,2,2,2
NP,1,G04.2_2415325177_3,bioinformatic,1,4,2
NP,1,G04.3_2040043577_1,etiology,1,5,3
NP,1,G04.3_2040043577_1,association rule,2,4,3
NP,1,G04.3_2040043577_1,to mine,3,3,2
NP,1,G04.3_2040043577_2,apriori algorithm,1,5,3
NP,1,G04.3_2941964798_1,metagenomics,1,5,3
NP,1,G04.3_2941964798_1,antimicrobial,2,1,1
NP,1,G04.3_2941964798_2,Next-generation sequencing,1,5,3
NP,1,G04.3_2941964798_2,genotype,2,4,3
NP,1,G04.3_2941964798_2,phenotype,3,4,3
NP,1,G04.3_2941964798_3,Bayesian,1,5,3
NP,1,G04.3_2941964798_3,single nucleotide variant,2,5,3
NP,1,G04.3_2941964798_3,false discovery rate,3,4,3
NP,1,G04.3_2941964798_3,mean absolute error,4,4,3
NP,1,G05.1_2117924928_1,CRISPR/Cas9 system,1,5,3
NP,1,G05.1_2117924928_1,gene regulation,2,4,3
NP,1,G05.1_2117924928_1,genome engineering,3,4,3
NP,1,G05.1_2117924928_2,sgRNA,1,5,3
NP,1,G05.1_2584932255_1,gene editing,1,4,3
NP,1,G05.1_2584932255_2,Pre-implantation Genetic Diagnosis,1,5,3
NP,1,G05.1_2584932255_2,in vitro fertilisation,2,3,2
NP,1,G05.1_2584932255_3,IVF,1,5,3
NP,1,G05.1_2584932255_4,artificial womb,1,1,1
